"","longitude","latitude","k3","k4","k5","k6"
"8","64.47316","32.397381","1","1","1","1"
"23","69.031149","34.002047","1","1","1","2"
"35","68.3697","33.770837","1","1","1","1"
"36","70.195278","34.677778","1","1","1","1"
"45","65.700272","31.61088","2","2","2","3"
"46","65.700272","31.61088","2","2","2","3"
"60","62.488056","32.625","3","3","3","4"
"105","64.319022","31.391814","1","1","1","1"
"124","64.833889","32.073333","3","3","4","5"
"132","62.144217","33.153987","1","1","1","2"
"159","66.141526","32.074078","1","1","1","1"
"183","69.501389","37.498611","3","3","4","5"
"192","69.920151","33.33445","2","2","2","3"
"196","66.906944","32.106111","3","3","4","5"
"209","65.054246","31.623036","1","1","1","1"
"210","63.864057","31.598149","1","1","1","1"
"222","62.920592","32.230825","3","3","4","5"
"238","68.777896","33.176573","2","2","2","3"
"247","63.327778","35.580278","1","1","1","1"
"260","69.918915","33.33816","1","1","1","1"
"272","65.700272","31.61088","2","2","2","3"
"295","65.454167","31.547778","3","4","5","6"
"304","68.763192","33.895519","3","3","4","5"
"311","62.520975","34.868133","1","1","1","1"
"312","62.920592","32.230825","1","1","1","2"
"321","64.240755","31.637074","1","1","1","2"
"344","70.1344","33.4172","1","1","1","1"
"393","65.700272","31.61088","3","3","4","5"
"395","70.621679","34.171831","2","2","2","3"
"415","64.240755","31.637074","1","1","1","2"
"420","68.860336","36.72657","1","1","1","2"
"432","65.842823","31.499139","2","2","2","3"
"441","64.431892","32.400023","3","3","4","5"
"453","62.479768","32.625149","1","1","1","2"
"466","69.649444","34.855556","3","3","4","5"
"490","69.335432","32.708666","2","2","2","3"
"512","69.931212","34.844218","3","3","4","5"
"513","69.273331","34.944168","1","1","1","1"
"519","61.347279","35.429562","1","1","1","2"
"526","61.344722","35.423333","3","3","4","5"
"534","69.931212","34.844218","3","3","4","5"
"541","69.871653","33.306695","1","1","1","2"
"590","65.698512","31.609836","1","1","1","1"
"595","62.356516","33.266693","1","1","1","2"
"596","64.360291","31.5832","2","2","2","3"
"611","69.706423","34.898515","1","1","1","2"
"633","64.557856","31.824331","1","1","1","1"
"681","62.947807","32.241694","1","1","1","2"
"696","71.354296","35.029842","3","4","5","6"
"705","62.115719","32.374802","3","3","3","4"
"720","64.114227","31.517771","3","3","4","5"
"740","63.029938","31.685279","3","3","4","5"
"741","64.564087","31.823601","1","1","1","2"
"761","69.920316","33.334617","1","1","1","1"
"777","70.193208","34.229213","1","1","1","2"
"779","69.920316","33.334617","1","1","1","2"
"792","65.700272","31.61088","2","2","2","3"
"803","65.054246","31.623036","1","1","1","1"
"806","70.193208","34.229213","1","1","1","1"
"818","65.700272","31.61088","3","3","3","4"
"851","68.745306","36.178903","1","1","1","2"
"871","65.049683","32.270119","1","1","1","1"
"874","65.884125","32.629978","1","1","1","2"
"875","65.884125","32.629978","1","1","1","2"
"904","64.833889","32.073333","1","1","1","2"
"906","68.542778","34.111944","1","1","1","1"
"911","64.9775","34.875833","1","1","1","1"
"920","67.781111","33.104444","3","3","3","4"
"924","65.700272","31.61088","2","2","2","3"
"926","65.700272","31.61088","3","4","5","6"
"934","65.06465","32.278666","3","3","4","5"
"956","62.479768","32.625149","3","3","3","4"
"1035","62.356516","33.266693","3","3","3","4"
"1036","66.141526","32.074078","1","1","1","2"
"1041","63.029938","31.685279","3","3","3","4"
"1045","66.398056","31.008056","3","3","4","5"
"1051","63.85825","32.248981","3","3","4","5"
"1054","69.287754","35.804295","1","1","1","2"
"1067","71.216143","34.801713","3","3","4","5"
"1073","64.564087","31.823601","1","1","1","1"
"1075","64.360291","31.5832","1","1","1","2"
"1127","70.193208","34.229213","3","3","4","5"
"1137","69.920151","33.33445","1","1","1","2"
"1151","69.171703","34.528455","3","3","4","5"
"1158","62.479768","32.625149","3","3","3","4"
"1176","64.47316","32.397381","1","1","1","2"
"1201","70.447778","34.434167","2","2","2","3"
"1204","71.083947","34.129868","3","4","5","6"
"1215","63.29266","35.037651","1","1","1","1"
"1269","64.292107","35.684521","1","1","1","2"
"1274","66.280556","31.203056","3","3","4","5"
"1278","64.05133","35.66957","1","1","1","2"
"1310","65.741539","31.571955","2","2","2","3"
"1368","64.360291","31.5832","2","2","2","3"
"1378","69.254974","34.94025","2","2","2","3"
"1383","62.115719","32.374802","3","3","3","4"
"1398","71.152778","34.874167","3","3","3","4"
"1400","70.447778","34.434167","3","4","5","6"
"1431","65.730626","32.966616","3","3","3","4"
"1432","66.398056","31.008056","1","1","1","2"
"1439","65.475736","30.996068","1","1","1","1"
"1446","64.360291","31.5832","3","3","4","5"
"1447","63.864057","31.598149","3","3","3","4"
"1454","70.896538","34.88052","3","3","4","5"
"1473","71.06083","34.325","3","3","3","4"
"1494","63.335419","35.5938","3","4","5","6"
"1510","65.349364","31.450236","3","3","4","5"
"1521","62.947807","32.241694","1","1","1","1"
"1522","62.343346","33.363956","3","3","3","4"
"1523","71.216143","34.801713","1","1","1","1"
"1531","65.700932","31.619182","3","3","4","5"
"1546","65.349364","31.450236","3","3","4","5"
"1574","64.114227","31.517771","1","1","1","2"
"1576","65.700272","31.61088","1","1","1","2"
"1593","65.570785","32.640755","1","1","1","2"
"1598","69.254974","34.94025","1","1","1","1"
"1614","65.570785","32.640755","1","1","1","1"
"1640","61.607058","35.210885","3","4","5","6"
"1656","65.884125","32.629978","3","3","4","5"
"1665","62.25808","33.513561","1","1","1","2"
"1672","64.360291","31.5832","1","1","1","2"
"1687","62.732388","32.689845","3","3","4","5"
"1712","66.906944","32.106111","3","3","4","5"
"1719","64.99432","32.12037","1","1","1","1"
"1743","67.766708","32.81493","1","1","1","2"
"1744","62.732388","34.183276","3","4","5","6"
"1755","70.097949","34.978559","1","1","1","1"
"1762","65.700272","31.61088","2","2","2","3"
"1773","71.216142","34.801713","3","3","4","5"
"1794","69.311593","33.200382","3","3","4","5"
"1800","63.769538","32.507639","1","1","1","1"
"1801","65.65","31.65","1","1","1","1"
"1808","66.398056","31.008056","2","2","2","3"
"1823","71.338644","35.409873","3","4","5","6"
"1824","70.75","34.7","1","1","1","2"
"1833","68.464158","32.85356","3","3","4","5"
"1834","66.05","32.847222","2","2","2","3"
