"","longitude","latitude","k3","k4","k5","k6"
"111","45.861207","31.135535","1","1","1","1"
"112","44.446499","33.373786","2","2","2","2"
"113","44.446499","33.373786","2","2","2","2"
"114","44.186691","33.31385","2","2","2","2"
"115","44.186691","33.31385","2","2","2","2"
"168","44.37141","33.055191","2","2","2","2"
"573","44.25529","33.281965","3","3","3","3"
"1015","44.422","33.325","1","1","1","1"
"1021","44.633333","33.75","3","3","3","3"
"1085","44.493661","33.271403","2","2","2","4"
"1086","44.380392","33.394528","3","3","3","3"
"1087","44.493661","33.271403","2","2","2","4"
"1088","44.314193","33.361103","2","2","2","4"
"1089","44.145278","34.016389","2","2","2","4"
"1090","43.493056","34.929167","2","2","2","4"
"1091","44.233333","33.85","2","2","2","4"
"1092","44.639339","34.88562","2","2","2","4"
"1093","43.483738","34.533753","3","3","3","3"
"1094","44.633333","33.75","2","2","2","4"
"1095","45.165826","34.273704","2","2","2","4"
"1096","44.29","32.778611","2","2","2","4"
"1097","44.39098","35.46883","2","2","2","4"
"1098","44.39098","35.46883","2","2","2","4"
"1099","43.13","36.34","3","3","3","3"
"1100","43.13","36.34","2","2","2","4"
"1101","44.493661","33.271403","2","2","2","4"
"1102","44.342575","33.230985","2","2","2","4"
"1103","44.234167","33.509167","2","2","2","4"
"1104","44.347304","33.314657","2","2","2","4"
"1105","44.433333","32.483333","2","2","2","4"
"1106","44.545441","32.54855","2","2","2","4"
"1108","44.347304","33.314657","2","2","2","4"
"1110","44.583333","33.1","2","2","2","4"
"1111","43.13","36.34","2","2","2","4"
"1112","43.13","36.34","2","2","2","4"
"1113","45.083333","33.7","2","2","2","4"
"1125","43.893056","35.244444","2","2","2","4"
"1126","43.893056","35.244444","2","2","2","4"
"1128","44.633333","33.75","2","2","2","4"
"1129","44.633333","33.75","1","1","1","1"
"1372","42.383333","34.133333","3","3","3","3"
"1373","42.383333","34.133333","3","3","3","3"
"1374","42.383333","34.133333","3","3","3","3"
"1375","42.383333","34.133333","3","3","3","3"
"1420","42.451778","36.373718","2","2","2","2"
"1421","42.451778","36.373718","1","1","1","1"
"1681","44.653244","33.735333","3","3","3","3"
