"","eventid","country_txt","latitude","longitude","attacktype1","targtype1","region","weaptype1","imonth","suicide","gname","guncertain1","doubtterr","groups"
"111",201201050004,"Iraq",31.135535,45.861207,"3","14","10","6","1","1","Muslim Fundamentalists","0","0",1
"112",201201050005,"Iraq",33.373786,44.446499,"3","14","10","6","1","0","Muslim Fundamentalists","0","0",1
"113",201201050006,"Iraq",33.373786,44.446499,"3","14","10","6","1","0","Muslim Fundamentalists","0","0",1
"114",201201050007,"Iraq",33.31385,44.186691,"3","14","10","6","1","0","Muslim Fundamentalists","0","0",1
"115",201201050008,"Iraq",33.31385,44.186691,"3","14","10","6","1","0","Muslim Fundamentalists","0","0",1
"168",201201070006,"Iraq",33.055191,44.37141,"3","14","10","6","1","0","Muslim Fundamentalists","1","0",1
"573",201201240021,"Iraq",33.281965,44.25529,"1","17","10","5","1","0","Al-Qaida in Iraq","0","0",2
"1015",201202190004,"Iraq",33.325,44.422,"3","3","10","6","2","1","Al-Qaida in Iraq","0","0",3
"1021",201202190011,"Iraq",33.75,44.633333,"2","14","10","5","2","0","Al-Qaida in Iraq","1","0",2
"1085",201202230001,"Iraq",33.271403,44.493661,"3","14","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1086",201202230002,"Iraq",33.394528,44.380392,"2","3","10","5","2","0","Al-Qaida in Iraq","0","0",2
"1087",201202230003,"Iraq",33.271403,44.493661,"3","14","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1088",201202230004,"Iraq",33.361103,44.314193,"3","14","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1089",201202230005,"Iraq",34.016389,44.145278,"3","14","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1090",201202230006,"Iraq",34.929167,43.493056,"3","14","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1091",201202230007,"Iraq",33.85,44.233333,"3","14","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1092",201202230008,"Iraq",34.88562,44.639339,"3","14","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1093",201202230009,"Iraq",34.533753,43.483738,"2","2","10","5","2","0","Al-Qaida in Iraq","0","0",2
"1094",201202230010,"Iraq",33.75,44.633333,"3","14","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1095",201202230011,"Iraq",34.273704,45.165826,"3","14","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1096",201202230012,"Iraq",32.778611,44.29,"3","8","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1097",201202230013,"Iraq",35.46883,44.39098,"3","3","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1098",201202230014,"Iraq",35.46883,44.39098,"3","3","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1099",201202230015,"Iraq",36.34,43.13,"2","4","10","5","2","0","Al-Qaida in Iraq","0","1",2
"1100",201202230016,"Iraq",36.34,43.13,"3","9","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1101",201202230017,"Iraq",33.271403,44.493661,"3","14","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1102",201202230018,"Iraq",33.230985,44.342575,"3","14","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1103",201202230019,"Iraq",33.509167,44.234167,"3","14","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1104",201202230021,"Iraq",33.314657,44.347304,"3","14","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1105",201202230022,"Iraq",32.483333,44.433333,"3","14","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1106",201202230023,"Iraq",32.54855,44.545441,"3","3","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1108",201202230025,"Iraq",33.314657,44.347304,"3","3","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1110",201202230027,"Iraq",33.1,44.583333,"3","3","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1111",201202230028,"Iraq",36.34,43.13,"3","16","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1112",201202230029,"Iraq",36.34,43.13,"3","16","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1113",201202230030,"Iraq",33.7,45.083333,"3","14","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1125",201202230045,"Iraq",35.244444,43.893056,"3","14","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1126",201202230046,"Iraq",35.244444,43.893056,"3","3","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1128",201202230049,"Iraq",33.75,44.633333,"3","3","10","6","2","0","Al-Qaida in Iraq","0","0",3
"1129",201202230050,"Iraq",33.75,44.633333,"3","3","10","6","2","1","Al-Qaida in Iraq","0","0",3
"1133",201202230054,"Iraq",33.230985,44.342575,"9","14","10","13","2","0","Al-Qaida in Iraq","0","0",4
"1372",201203050001,"Iraq",34.133333,42.383333,"1","3","10","5","3","0","Al-Qaida in Iraq","0","0",2
"1373",201203050002,"Iraq",34.133333,42.383333,"2","3","10","5","3","0","Al-Qaida in Iraq","0","0",2
"1374",201203050003,"Iraq",34.133333,42.383333,"1","3","10","5","3","0","Al-Qaida in Iraq","0","0",2
"1375",201203050004,"Iraq",34.133333,42.383333,"2","3","10","5","3","0","Al-Qaida in Iraq","0","0",2
"1420",201203070001,"Iraq",36.373718,42.451778,"3","14","10","6","3","0","Al-Qaida in Iraq","1","0",3
"1421",201203070002,"Iraq",36.373718,42.451778,"3","14","10","6","3","1","Al-Qaida in Iraq","1","0",3
"1681",201203190007,"Iraq",33.735333,44.653244,"2","3","10","5","3","0","Al-Qaida in Iraq","1","0",2
"1691",201203200001,"Iraq",33.325,44.422,"3","2","10","6","3","1","Al-Qaida in Iraq","0","0",3
"1692",201203200002,"Iraq",32.6143,44.02483,"3","19","10","6","3","0","Al-Qaida in Iraq","0","0",3
"1693",201203200003,"Iraq",35.46883,44.39098,"3","3","10","6","3","0","Al-Qaida in Iraq","0","0",3
"1694",201203200004,"Iraq",35.46883,44.39098,"3","3","10","6","3","0","Al-Qaida in Iraq","0","0",3
"1695",201203200005,"Iraq",32.483333,44.433333,"3","14","10","6","3","1","Al-Qaida in Iraq","0","0",3
"1696",201203200006,"Iraq",33.305245,44.373304,"2","3","10","5","3","0","Al-Qaida in Iraq","0","0",2
"1697",201203200008,"Iraq",33.431831,43.311501,"3","4","10","6","3","0","Al-Qaida in Iraq","0","0",3
"1698",201203200009,"Iraq",34.19421,43.874931,"3","3","10","6","3","0","Al-Qaida in Iraq","0","0",3
